Titulo,Custo de Producao,Arrecadacao Bruta,Distribuidora,Genero,Diretor,Nota Rotten Tomatoes,Nota IMDB,Votos IMDB
Disturbia,20000000.0,117573043.0,Paramount Pictures,Thriller/Suspense,D.J. Caruso,68.0,7.0,72231.0
Double Take,24000000.0,29823162.0,Walt Disney Pictures,Action,,12.0,6.8,162.0
Death at a Funeral,20000000.0,34743644.0,MGM,Comedy,Frank Oz,61.0,5.1,6628.0
Deterrence,800000.0,371647.0,,Thriller/Suspense,,45.0,6.3,1776.0
Dirty Pretty Things,10000000.0,13904766.0,Miramax,Drama,Stephen Frears,,7.5,18554.0
Dudley Do-Right,22000000.0,9818792.0,Universal,Comedy,Hugh Wilson,14.0,3.6,4628.0
Duets,16000000.0,4734235.0,Walt Disney Pictures,Drama,,21.0,5.7,5340.0
The Dukes of Hazzard,53000000.0,110570227.0,Warner Bros.,Comedy,Jay Chandrasekhar,13.0,4.7,27016.0
Duma,12000000.0,994790.0,Warner Bros.,Adventure,,93.0,7.2,2966.0
Dumb and Dumberer: When Harry Met Lloyd,30000000.0,26214846.0,New Line,Comedy,,10.0,3.3,14813.0
Dungeons & Dragons 2: The Elemental Might,15000000.0,909822.0,Warner Bros.,,,,,
Dungeons and Dragons,35000000.0,33771965.0,New Line,Adventure,,,3.6,16954.0
Duplex,40000000.0,10070651.0,Miramax,Comedy,Danny De Vito,,5.7,19238.0
"You, Me and Dupree",54000000.0,130402010.0,Universal,Comedy,,21.0,6.1,164.0
Devil's Advocate,57000000.0,153007424.0,Warner Bros.,Drama,Taylor Hackford,,,
The Da Vinci Code,125000000.0,757236138.0,Sony Pictures,Thriller/Suspense,Ron Howard,25.0,6.4,116903.0
D-War,32000000.0,79915361.0,Freestyle Releasing,Action,,,3.8,14081.0
Deuces Wild,10000000.0,6044618.0,MGM,Drama,,3.0,5.3,4010.0
Down to Earth,30000000.0,71172251.0,Paramount Pictures,Comedy,Paul Weitz,19.0,5.0,9193.0
Down to You,9000000.0,20035310.0,Miramax,Romantic Comedy,,3.0,4.4,7095.0
I'm Not There,20000000.0,11498547.0,Weinstein Co.,Drama,Todd Haynes,76.0,7.1,23078.0
Easy A,8000000.0,22156221.0,Sony/Screen Gems,Comedy,,80.0,7.7,483.0
The Eclipse,3000000.0,133411.0,Magnolia Pictures,,,,6.2,790.0
Edge of Darkness,60000000.0,78739628.0,Warner Bros.,Drama,Martin Campbell,55.0,6.7,24174.0
EDtv,60000000.0,35319689.0,Universal,Comedy,Ron Howard,62.0,6.0,21734.0
An Education,7500000.0,14134502.0,Sony Pictures Classics,Drama,,94.0,7.5,22855.0
East is East,3000000.0,4170647.0,Miramax,Comedy,,,6.7,8351.0
8 Heads in a Duffel Bag,3000000.0,4002884.0,Orion Pictures,Black Comedy,,11.0,4.8,5127.0
Eagle Eye,80000000.0,178066569.0,Paramount Pictures,Thriller/Suspense,D.J. Caruso,27.0,6.6,52336.0
8MM,40000000.0,96398826.0,Sony Pictures,Thriller/Suspense,Joel Schumacher,22.0,6.3,47753.0
Iris,5500000.0,15035827.0,Miramax,Drama,,79.0,5.8,44.0
Election,8500000.0,14943582.0,Paramount Pictures,Black Comedy,Alexander Payne,92.0,7.4,37454.0
Elektra,65000000.0,56409722.0,20th Century Fox,Action,,10.0,4.9,27283.0
Elf,32000000.0,220443451.0,New Line,Comedy,Jon Favreau,84.0,6.8,42123.0
Elizabeth,25000000.0,82150642.0,Gramercy,Drama,Shekhar Kapur,81.0,7.6,33773.0
Ella Enchanted,35000000.0,22913677.0,Miramax,Comedy,,49.0,6.3,12020.0
Once Upon a Time in Mexico,29000000.0,98156459.0,Sony Pictures,Action,Robert Rodriguez,68.0,6.2,54413.0
The Adventures of Elmo in Grouchland,17000000.0,11634458.0,Sony Pictures,Comedy,,76.0,5.4,1059.0
The Emperor's Club,12500000.0,16124074.0,Universal,Drama,,50.0,6.7,8165.0
Empire,3500000.0,18495444.0,Universal,Drama,,21.0,6.5,63.0
La marche de l'empereur,3400000.0,129437223.0,Warner Independent,Documentary,,,7.8,23674.0
Employee of the Month,10000000.0,38117718.0,Lionsgate,Comedy,,20.0,5.4,17845.0
The Emperor's New Groove,100000000.0,169296573.0,Walt Disney Pictures,Adventure,Mark Dindal,85.0,7.4,23355.0
Enchanted,85000000.0,340384141.0,Walt Disney Pictures,Romantic Comedy,Kevin Lima,92.0,7.5,55697.0
The End of the Affair,23000000.0,10660147.0,Sony Pictures,Drama,Neil Jordan,67.0,6.9,9969.0
End of Days,100000000.0,212026975.0,Universal,Action,Peter Hyams,11.0,5.4,43513.0
End of the Spear,10000000.0,11748661.0,M Power Releasing,Drama,,,6.7,2884.0
Enemy at the Gates,85000000.0,96971293.0,Paramount Pictures,Drama,Jean-Jacques Annaud,53.0,7.4,59916.0
Enemy of the State,85000000.0,250649836.0,Walt Disney Pictures,Action,Tony Scott,70.0,7.2,66700.0
Entrapment,66000000.0,211700000.0,20th Century Fox,Thriller/Suspense,Jon Amiel,38.0,6.1,40764.0
Enough,38000000.0,39177215.0,Sony Pictures,Thriller/Suspense,Michael Apted,21.0,6.5,92.0
Envy,20000000.0,14566246.0,Dreamworks SKG,Comedy,Barry Levinson,7.0,4.6,15655.0
Epic Movie,20000000.0,86858578.0,20th Century Fox,Comedy,Jason Friedberg,2.0,2.2,48975.0
Eragon,100000000.0,249488115.0,20th Century Fox,Adventure,,16.0,5.0,43555.0
Erin Brockovich,50000000.0,258400000.0,Universal,Drama,Steven Soderbergh,83.0,7.2,54977.0
Elizabethtown,54000000.0,50719373.0,Paramount Pictures,Drama,Cameron Crowe,28.0,6.4,31775.0
Eat Pray Love,60000000.0,81846373.0,Sony Pictures,Drama,,37.0,4.7,3019.0
Eternal Sunshine of the Spotless Mind,20000000.0,47066518.0,Focus Features,Comedy,Michel Gondry,93.0,8.5,219986.0
Eulogy,10000000.0,70527.0,Artisan,Comedy,,32.0,6.6,5205.0
Eureka,2000000.0,76654.0,,Drama,,,7.9,1391.0
Eurotrip,25000000.0,20718223.0,Dreamworks SKG,Comedy,,46.0,6.5,52548.0
Eve's Bayou,5000000.0,14843425.0,Trimark,Drama,Kasi Lemmons,80.0,7.0,4509.0
Event Horizon,60000000.0,26673242.0,Paramount Pictures,Horror,Paul Anderson,21.0,6.3,44671.0
Ever After: A Cinderella Story,26000000.0,65705772.0,20th Century Fox,Drama,Andy Tennant,,,
Evita,55000000.0,151947179.0,Walt Disney Pictures,Musical,Alan Parker,61.0,6.1,16769.0
Evolution,80000000.0,98341932.0,Dreamworks SKG,Comedy,Ivan Reitman,42.0,5.9,39590.0
An Everlasting Piece,4000000.0,75078.0,Dreamworks SKG,,Barry Levinson,49.0,6.0,1097.0
Fong juk,4500000.0,51957.0,Magnolia Pictures,Action,,,7.3,3699.0
Exit Wounds,33000000.0,79958599.0,Warner Bros.,Action,Andrzej Bartkowiak,33.0,5.2,14528.0
The Exorcism of Emily Rose,18000000.0,144216468.0,Sony/Screen Gems,Thriller/Suspense,Scott Derrickson,45.0,6.8,32425.0
Exorcist: The Beginning,78000000.0,43957541.0,Warner Bros.,Horror,Renny Harlin,,5.0,15901.0
The Express,37500000.0,9808102.0,Universal,Drama,,61.0,7.1,4749.0
eXistenZ,20700000.0,2840417.0,Miramax,Thriller/Suspense,David Cronenberg,71.0,6.8,35788.0
Extract,7500000.0,10849158.0,Miramax,Comedy,Mike Judge,62.0,6.4,12371.0
Extreme Ops,40000000.0,12624471.0,Paramount Pictures,Action,Christian Duguay,6.0,4.1,3195.0
Eyes Wide Shut,65000000.0,86257553.0,Warner Bros.,Drama,Stanley Kubrick,78.0,7.2,93880.0
The Faculty,15000000.0,40283321.0,Miramax,Horror,Robert Rodriguez,51.0,6.3,36139.0
Failure to Launch,50000000.0,128402901.0,Paramount Pictures,Romantic Comedy,Tom Dey,25.0,5.6,20324.0
Keeping the Faith,29000000.0,45336404.0,Walt Disney Pictures,Romantic Comedy,,68.0,6.5,25485.0
Fame,18000000.0,77956957.0,MGM,Musical,,25.0,4.5,4973.0
The Family Stone,18000000.0,91762868.0,20th Century Fox,Comedy,,52.0,6.3,24434.0
Lisa Picard is Famous,1000000.0,113433.0,,Comedy,Griffin Dunne,,,
Fantasia 2000 (Theatrical Release),80000000.0,9103630.0,Walt Disney Pictures,Musical,,,,
Far From Heaven,13500000.0,29027914.0,Focus Features,Drama,Todd Haynes,89.0,7.5,20239.0
Fascination,5000000.0,83356.0,MGM,Thriller/Suspense,,,2.5,1016.0
Father's Day,85000000.0,35681080.0,Warner Bros.,Comedy,Ivan Reitman,,4.8,6654.0
Facing the Giants,100000.0,10178331.0,IDP/Goldwyn/Roadside,Drama,Alex Kendrick,9.0,6.0,4901.0
Face/Off,80000000.0,241200000.0,Paramount Pictures,Action,John Woo,93.0,7.3,102001.0
Final Destination 2,26000000.0,89626226.0,New Line,Horror,David R. Ellis,47.0,6.4,35737.0
Final Destination 3,25000000.0,112798051.0,New Line,Horror,James Wong,45.0,5.9,32263.0
The Final Destination,40000000.0,185777700.0,Warner Bros.,Horror,David R. Ellis,27.0,4.9,20319.0
FearDotCom,40000000.0,13208023.0,Warner Bros.,Horror,William Malone,,3.1,11438.0
Fear and Loathing in Las Vegas,18500000.0,13711903.0,Universal,Comedy,Terry Gilliam,47.0,7.6,81560.0
Feast,3200000.0,341808.0,Weinstein/Dimension,Horror,,55.0,6.4,12023.0
The Fifth Element,95000000.0,263900000.0,Sony Pictures,Action,Luc Besson,72.0,7.4,131252.0
Femme Fatale,35000000.0,6592103.0,Warner Bros.,Thriller/Suspense,Brian De Palma,48.0,6.3,16693.0
Bring it On,10000000.0,90453550.0,Universal,Comedy,Peyton Reed,63.0,5.9,30309.0
Fantastic Four,87500000.0,330579719.0,20th Century Fox,Action,Tim Story,27.0,5.7,71675.0
54,13000000.0,16757163.0,Miramax,Drama,,13.0,5.6,15023.0
2 Fast 2 Furious,76000000.0,236220058.0,Universal,Action,John Singleton,36.0,5.1,44151.0
The Fast and the Furious,38000000.0,206512310.0,Universal,Action,Rob Cohen,53.0,6.0,67939.0
Fool's Gold,72500000.0,109362966.0,Warner Bros.,Adventure,Andy Tennant,,7.6,93.0
Fahrenheit 9/11,6000000.0,222414517.0,Lionsgate,Documentary,Michael Moore,83.0,7.6,74424.0
Capitalism: A Love Story,20000000.0,14678228.0,Overture Films,Documentary,Michael Moore,75.0,7.3,11829.0
From Hell,35000000.0,31598308.0,20th Century Fox,Thriller/Suspense,Albert Hughes,57.0,6.8,53477.0
Fido,8000000.0,419801.0,Lionsgate,Horror,,,6.9,11683.0
Fight Club,65000000.0,100853753.0,20th Century Fox,Drama,David Fincher,81.0,8.8,382470.0
Final Fantasy: The Spirits Within,137000000.0,85131830.0,Sony Pictures,Adventure,,,6.4,36227.0
Finding Forrester,43000000.0,80013623.0,Sony Pictures,Drama,Gus Van Sant,74.0,7.2,35966.0
Freddy Got Fingered,15000000.0,14249005.0,20th Century Fox,Comedy,,11.0,4.0,25033.0
Firestorm,19000000.0,8123860.0,20th Century Fox,Action,,,4.4,2118.0
Fish Tank,3000000.0,374675.0,,,,,7.5,5940.0
Felicia's Journey,15000000.0,1970268.0,Artisan,Drama,Atom Egoyan,88.0,6.9,4790.0
From Justin to Kelly,12000000.0,4922166.0,20th Century Fox,Musical,,8.0,1.6,17596.0
Final Destination,23000000.0,112802314.0,New Line,Horror,James Wong,31.0,6.8,52618.0
Flags of Our Fathers,53000000.0,61902376.0,Paramount Pictures,Drama,Clint Eastwood,73.0,7.2,42788.0
Flawless,27000000.0,4485485.0,MGM,Drama,Joel Schumacher,43.0,6.7,8125.0
Flammen og Citronen,9000000.0,1635241.0,IFC Films,Thriller/Suspense,,,7.2,4182.0
Flicka,15000000.0,21893591.0,20th Century Fox,Drama,,54.0,5.7,2832.0
Flight of the Phoenix,75000000.0,34009180.0,20th Century Fox,Adventure,,30.0,6.0,18568.0
United 93,18000000.0,76366864.0,Universal,Drama,Paul Greengrass,91.0,7.8,46691.0
Flubber,80000000.0,177993801.0,Walt Disney Pictures,Comedy,Les Mayfield,17.0,4.6,18890.0
Flushed Away,149000000.0,177665672.0,Paramount Pictures,Comedy,Sam Fell,72.0,7.0,21334.0
Flyboys,60000000.0,14816379.0,MGM,Drama,Tony Bill,33.0,6.5,13934.0
Fly Me To the Moon,25000000.0,40098231.0,Summit Entertainment,Adventure,,17.0,4.7,1653.0
Find Me Guilty,13000000.0,1788077.0,Freestyle Releasing,Drama,Sidney Lumet,60.0,7.1,12800.0
The Family Man,60000000.0,124715863.0,Universal,Comedy,Brett Ratner,52.0,6.6,34090.0
Friends with Money,6500000.0,15328368.0,Sony Pictures Classics,Comedy,,71.0,6.1,11087.0
Finding Nemo,94000000.0,867894287.0,Walt Disney Pictures,Adventure,Andrew Stanton,98.0,8.2,165006.0
Finishing the Game,500000.0,52850.0,IFC First Take,Comedy,Justin Lin,35.0,,
Foodfight!,65000000.0,0.0,Lionsgate,Comedy,,,,
Formula 51,27000000.0,5204007.0,Screen Media Films,Action,,,,
The Fountain,35000000.0,15461638.0,Warner Bros.,Drama,Darren Aronofsky,51.0,7.4,72562.0
Fantastic Four: Rise of the Silver Surfer,120000000.0,288215319.0,20th Century Fox,Action,Tim Story,36.0,,
Farce of the Penguins,5000000.0,0.0,ThinkFilm,Comedy,,,4.1,3186.0
Flightplan,55000000.0,225706988.0,Walt Disney Pictures,Thriller/Suspense,,38.0,6.2,45305.0
Frailty,11000000.0,17423030.0,Lionsgate,Thriller/Suspense,,74.0,7.3,27629.0
The Forbidden Kingdom,55000000.0,129075270.0,Lionsgate,Action,Rob Minkoff,64.0,6.7,36548.0
Freedom Writers,21000000.0,43090741.0,Paramount Pictures,Drama,Richard LaGravenese,69.0,7.5,18065.0
Next Friday,9500000.0,59675307.0,New Line,Comedy,Steve Carr,21.0,5.3,10176.0
Freaky Friday,26000000.0,160822438.0,Walt Disney Pictures,Comedy,Mark Waters,88.0,6.5,29137.0
Frequency,31000000.0,68079671.0,New Line,Drama,,69.0,7.3,35968.0
Serenity,39000000.0,38514517.0,Universal,Action,Joss Whedon,81.0,8.0,106648.0
The Forgotton,50000000.0,111311892.0,Sony Pictures,Thriller/Suspense,Joseph Ruben,,4.9,1169.0
Jason X,14000000.0,16951798.0,New Line,Horror,,21.0,4.4,17964.0
Friday the 13th,17000000.0,91700771.0,Warner Bros.,Horror,,26.0,5.6,26798.0
Friday After Next,10000000.0,33526835.0,New Line,Comedy,,25.0,5.3,6742.0
Frida,12000000.0,56298474.0,Miramax,Drama,,76.0,7.3,26243.0
Friday Night Lights,30000000.0,61950770.0,Universal,Drama,Peter Berg,81.0,7.2,20868.0
Frozen River,1000000.0,5281776.0,Sony Pictures Classics,Drama,,87.0,7.2,10447.0
The Princess and the Frog,105000000.0,263467382.0,Walt Disney Pictures,Adventure,John Musker,84.0,7.4,16232.0
Full Frontal,2000000.0,3438804.0,Miramax,Comedy,Steven Soderbergh,37.0,4.8,6660.0
Fireproof,500000.0,33451479.0,Samuel Goldwyn Films,Drama,Alex Kendrick,40.0,5.6,5498.0
The Forsaken,5000000.0,6755271.0,Sony Pictures,Horror,,8.0,5.1,4679.0
Frost/Nixon,29000000.0,28144586.0,Universal,Drama,Ron Howard,92.0,7.9,36366.0
Factory Girl,7000000.0,1661464.0,MGM,Drama,,19.0,6.1,8680.0
Fateless,12000000.0,196857.0,ThinkFilm,Drama,,,6.0,462.0
The Full Monty,3500000.0,257938649.0,Fox Searchlight,Comedy,Peter Cattaneo,95.0,7.2,40877.0
Fun With Dick And Jane,140000000.0,202250000.0,Sony Pictures,Comedy,,29.0,6.3,1788.0
Funny People,70000000.0,71880305.0,Universal,Comedy,Judd Apatow,67.0,6.8,37791.0
Fur,16800000.0,2281089.0,Picturehouse,Drama,,,,
Furry Vengeance,35000000.0,21630465.0,Summit Entertainment,Comedy,Roger Kumble,8.0,2.6,3458.0
Fever Pitch,40000000.0,50071069.0,20th Century Fox,Comedy,Bobby Farrelly,,6.3,16736.0
For Your Consideration,12000000.0,5549923.0,Warner Independent,Comedy,Christopher Guest,50.0,6.2,7780.0
The Game,50000000.0,48265581.0,Polygram,Thriller/Suspense,David Fincher,80.0,7.7,74136.0
Gangs of New York,97000000.0,190400000.0,Miramax,Drama,Martin Scorsese,75.0,7.4,113378.0
Garfield,50000000.0,200802638.0,20th Century Fox,Comedy,Peter Hewitt,,4.8,19870.0
Georgia Rule,20000000.0,20819601.0,Universal,Drama,Garry Marshall,17.0,5.8,10902.0
Gattaca,36000000.0,12532777.0,Sony Pictures,Drama,Andrew Niccol,82.0,7.8,70906.0
"Gone, Baby, Gone",19000000.0,34619699.0,Miramax,Drama,Ben Affleck,,,
"Goodbye, Lenin!",6400000.0,79316616.0,Sony Pictures Classics,Comedy,,,3.3,198.0
Good Boy!,17000000.0,45312217.0,MGM,Comedy,,45.0,5.0,1961.0
Gods and Generals,55000000.0,12923936.0,Warner Bros.,Drama,,8.0,6.0,7437.0
The Good German,32000000.0,1308696.0,Warner Bros.,Drama,Steven Soderbergh,32.0,6.1,13007.0
Gods and Monsters,3500000.0,6451628.0,Lionsgate,Drama,Bill Condon,96.0,7.5,15946.0
The Good Night,15000000.0,22441.0,Sony Pictures,Romantic Comedy,,29.0,6.0,4332.0
The Good Thief,30000000.0,3517797.0,Fox Searchlight,Drama,Neil Jordan,78.0,,
George and the Dragon,32000000.0,0.0,,,,,5.7,1762.0
Gerry,7000000.0,254683.0,ThinkFilm,Drama,Gus Van Sant,,6.2,8583.0
G-Force,82500000.0,287389685.0,Walt Disney Pictures,Adventure,,22.0,5.0,9633.0
Gridiron Gang,30000000.0,41480851.0,Sony Pictures,Drama,Phil Joanou,41.0,6.8,12400.0
The Good Girl,8000000.0,15976468.0,Fox Searchlight,Comedy,,81.0,6.6,21460.0
Ghost Ship,20000000.0,68349884.0,Warner Bros.,Horror,,13.0,5.3,25891.0
Ghosts of Mississippi,36000000.0,13052741.0,Sony Pictures,Drama,Rob Reiner,50.0,6.4,5276.0
The Glass House,22000000.0,22861785.0,Sony Pictures,Thriller/Suspense,,21.0,5.6,10629.0
Ghost Rider,120000000.0,237702596.0,Sony Pictures,Action,Mark Steven Johnson,26.0,5.2,63235.0
Ghost Town,20000000.0,26612350.0,Paramount Pictures,Romantic Comedy,David Koepp,85.0,4.7,310.0
The Gift,10000000.0,44567606.0,Paramount Vantage,Thriller/Suspense,Sam Raimi,56.0,6.7,28488.0
Gigli,54000000.0,7266209.0,Sony Pictures,Romantic Comedy,Martin Brest,6.0,2.4,29031.0
G.I.Jane,50000000.0,48169156.0,Walt Disney Pictures,Drama,Ridley Scott,,5.5,23807.0
G.I. Joe: The Rise of Cobra,175000000.0,302469019.0,Paramount Pictures,Action,Stephen Sommers,,5.8,47052.0
"Girl, Interrupted",24000000.0,28871190.0,Sony Pictures,Drama,James Mangold,53.0,,
Gladiator,103000000.0,457683805.0,Sony Pictures,Action,Ridley Scott,77.0,8.3,279512.0
Glitter,8500000.0,4273372.0,20th Century Fox,Musical,Vondie Curtis-Hall,7.0,2.0,13778.0
Gloria,30000000.0,4967493.0,Sony Pictures,Drama,Sidney Lumet,19.0,4.7,2726.0
Good Luck Chuck,25000000.0,59183821.0,Lionsgate,Romantic Comedy,,5.0,5.6,29013.0
John Carpenter's Ghosts of Mars,28000000.0,8434601.0,Screen Media Films,Action,John Carpenter,,,
The Green Mile,60000000.0,286601374.0,Warner Bros.,Drama,Frank Darabont,77.0,8.4,198916.0
The Game of Their Lives,20000000.0,375474.0,IFC Films,Drama,,25.0,6.0,1443.0
"Gandhi, My Father",5000000.0,1375194.0,Eros Entertainment,Drama,,40.0,8.1,50881.0
Good Night and Good Luck,7000000.0,54601218.0,Warner Independent,Drama,George Clooney,,7.7,42797.0
The General's Daughter,60000000.0,149705852.0,Paramount Pictures,Drama,Simon West,22.0,6.1,23570.0
Gun Shy,10000000.0,1638202.0,Walt Disney Pictures,Comedy,,24.0,5.4,3607.0
Go!,6500000.0,28383441.0,Sony Pictures,Black Comedy,Doug Liman,92.0,,
Goal!,33000000.0,27610873.0,Walt Disney Pictures,Drama,,,6.9,16809.0
Godzilla 2000,1000000.0,10037390.0,Sony Pictures,Action,,,,
Godsend,30000000.0,16910708.0,Lionsgate,Thriller/Suspense,,4.0,4.7,13866.0
Godzilla,125000000.0,376000000.0,Sony Pictures,Action,Roland Emmerich,25.0,4.8,59455.0
Smiling Fish and Goat on Fire,40000.0,277233.0,,,,,,
Gone in 60 Seconds,103300000.0,232643008.0,,,,,6.4,2940.0
Good,16000000.0,27276.0,ThinkFilm,Drama,,34.0,6.2,1926.0
Good Will Hunting,10000000.0,225933435.0,Miramax,Drama,Gus Van Sant,97.0,8.1,150415.0
Gosford Park,18000000.0,41300105.0,USA Films,Comedy,Robert Altman,86.0,7.3,36648.0
Gossip,14000000.0,12591270.0,Warner Bros.,Drama,,28.0,,
The Game Plan,22000000.0,147914546.0,Walt Disney Pictures,Comedy,Andy Fickman,27.0,6.3,14984.0
Girl with a Pearl Earring,12000000.0,22106210.0,Lionsgate,Drama,Peter Webber,71.0,7.1,23493.0
Galaxy Quest,45000000.0,90523726.0,Dreamworks SKG,Comedy,,89.0,7.2,52507.0
Saving Grace,4000000.0,24325623.0,Fine Line,Comedy,,63.0,6.8,8543.0
Gracie,9000000.0,3036736.0,Picturehouse,Drama,,59.0,6.2,2084.0
The Great Raid,60000000.0,10597070.0,Miramax,Action,John Dahl,36.0,6.8,8894.0
The Grand,3000000.0,115879.0,Anchor Bay Entertainment,Comedy,Zak Penn,,6.1,3346.0
The Constant Gardener,25500000.0,81079798.0,Focus Features,Drama,Fernando Meirelles,83.0,7.6,50763.0
Garden State,2500000.0,32381151.0,Fox Searchlight,Drama,Zach Braff,86.0,7.9,92594.0
Grease,6000000.0,206005260.0,Paramount Pictures,Musical,Randal Kleiser,83.0,7.0,60146.0
Green Zone,100000000.0,84788541.0,Universal,Drama,Paul Greengrass,55.0,7.1,26759.0
George Of The Jungle,55000000.0,174463257.0,Walt Disney Pictures,Comedy,,54.0,5.3,19685.0
The Brothers Grimm,80000000.0,105299638.0,Miramax/Dimension,Adventure,Terry Gilliam,37.0,5.9,43532.0
The Girl Next Door,25000000.0,18589444.0,20th Century Fox,Romantic Comedy,Luke Greenfield,56.0,7.0,5614.0
How the Grinch Stole Christmas,123000000.0,345141403.0,Universal,Comedy,Ron Howard,53.0,5.7,40310.0
Grindhouse,53000000.0,50187789.0,Weinstein/Dimension,Horror,Robert Rodriguez,,7.9,82770.0
Get Rich or Die Tryin',40000000.0,46437122.0,Paramount Pictures,Drama,Jim Sheridan,16.0,4.0,18126.0
Wallace & Gromit: The Curse of the Were-Rabbit,30000000.0,185724838.0,Dreamworks SKG,Adventure,Nick Park,95.0,7.9,38158.0
Groove,500000.0,1167524.0,Sony Pictures Classics,Comedy,,56.0,5.8,2486.0
Grosse Point Blank,15000000.0,28084357.0,Walt Disney Pictures,Black Comedy,,,7.4,41523.0
The Grudge 2,20000000.0,68643839.0,Sony Pictures,Horror,,10.0,4.6,16024.0
The Grudge,10000000.0,187281115.0,Sony Pictures,Horror,,39.0,5.7,43218.0
Grown Ups,75000000.0,250294625.0,Sony Pictures,Comedy,,9.0,5.8,13488.0
Ghost Dog: Way of the Samurai,2000000.0,6030230.0,Artisan,Drama,Jim Jarmusch,,,
Guess Who,35000000.0,102115888.0,Sony Pictures,Comedy,,43.0,5.7,15789.0
Get Carter,40000000.0,19417182.0,Warner Bros.,Drama,,12.0,4.8,14196.0
Get Over It,10000000.0,11560259.0,Miramax,Romantic Comedy,,45.0,5.5,9350.0
Veronica Guerin,17000000.0,9438074.0,Walt Disney Pictures,Drama,Joel Schumacher,54.0,6.8,8778.0
The Guru,11000000.0,23788368.0,Universal,Comedy,,,5.5,9239.0
A Guy Thing,20000000.0,17430594.0,MGM,Romantic Comedy,,,5.5,8147.0
Ghost World,5500000.0,8764007.0,MGM,Comedy,Terry Zwigoff,92.0,7.7,42973.0
Halloween 2,15000000.0,38512850.0,Weinstein/Dimension,Horror,Rob Zombie,,4.5,9284.0
Hairspray,75000000.0,202823091.0,New Line,Musical,Adam Shankman,91.0,7.2,41511.0
Half Baked,8000000.0,17394881.0,Universal,Comedy,,29.0,6.3,18791.0
Hamlet,18000000.0,7129670.0,Sony Pictures,Drama,,94.0,6.0,5147.0
Hamlet,2000000.0,2288841.0,Miramax,Drama,,71.0,6.0,5147.0
Hannibal the Conqueror,50000000.0,0.0,Sony Pictures,,Vin Diesel,,,
Hancock,150000000.0,624346274.0,Sony Pictures,Action,Peter Berg,40.0,6.5,100822.0
Happily N'Ever After,47000000.0,38344430.0,Lionsgate,Comedy,,,3.9,4678.0
The Happening,60000000.0,163403799.0,20th Century Fox,Thriller/Suspense,M. Night Shyamalan,18.0,5.2,72259.0
"Happy, Texas",1700000.0,2039192.0,Miramax,Comedy,,82.0,7.5,198.0
Hard Candy,950000.0,1881243.0,Lionsgate,Horror,,,7.2,45791.0
Harsh Times,2000000.0,5963961.0,MGM,Drama,,48.0,7.0,26347.0
Harvard Man,5500000.0,56653.0,,Drama,,,4.9,2758.0
Harry Brown,7300000.0,6294140.0,Samuel Goldwyn Films,Thriller/Suspense,,,7.4,14297.0
The House Bunny,25000000.0,70237389.0,Sony Pictures,Comedy,Fred Wolf,39.0,5.5,18964.0
The Devil's Rejects,7000000.0,20940428.0,Lionsgate,Horror,Rob Zombie,54.0,6.9,36082.0
"House of 1,000 Corpses",7000000.0,16829545.0,Lionsgate,Horror,Rob Zombie,,5.5,3311.0
The House of the Dead,7000000.0,13767816.0,Artisan,Horror,Uwe Boll,,6.5,5541.0
Hidalgo,78000000.0,107336658.0,Walt Disney Pictures,Western,Joe Johnston,46.0,6.6,23604.0
Hide and Seek,25000000.0,123100486.0,20th Century Fox,Thriller/Suspense,,12.0,5.6,30891.0
Hoodwinked,17500000.0,110011106.0,Weinstein Co.,Comedy,,,6.7,20461.0
How Do You Know?,90000000.0,0.0,Sony Pictures,Romantic Comedy,,,,
Head of State,35200000.0,38283765.0,Dreamworks SKG,Comedy,Chris Rock,30.0,5.1,8447.0
Hedwig and the Angry Inch,6000000.0,3643900.0,Fine Line,Musical,,92.0,7.6,14766.0
Pooh's Heffalump Movie,20000000.0,52858433.0,Walt Disney Pictures,Adventure,,80.0,6.3,1605.0
He Got Game,25000000.0,21567853.0,Walt Disney Pictures,Drama,Spike Lee,80.0,6.8,14494.0
Heist,35000000.0,28483168.0,New Line,Action,David Mamet,66.0,3.2,77.0
Hellboy 2: The Golden Army,82500000.0,160388063.0,Universal,Action,Guillermo Del Toro,,7.3,61902.0
Hellboy,60000000.0,99823958.0,Sony Pictures,Action,Guillermo Del Toro,81.0,6.8,67763.0
Raising Helen,50000000.0,43340302.0,Walt Disney Pictures,Comedy,Garry Marshall,22.0,5.7,10526.0
A Home at the End of the World,6500000.0,1033810.0,Warner Independent,Drama,,48.0,6.7,7180.0
Jet Li's Hero,17000000.0,177352140.0,Miramax,Action,Yimou Zhang,,,
Here on Earth,15000000.0,10845127.0,20th Century Fox,Drama,,18.0,4.6,4929.0
House of Flying Daggers,12000000.0,92863945.0,Sony Pictures Classics,Action,Yimou Zhang,,,
Head Over Heels,14000000.0,10397365.0,Universal,Romantic Comedy,Mark Waters,9.0,4.8,6574.0
The Haunting,80000000.0,180188905.0,Dreamworks SKG,Horror,Jan De Bont,17.0,4.6,31808.0
High Crimes,42000000.0,63781100.0,20th Century Fox,Thriller/Suspense,Carl Franklin,31.0,6.1,14428.0
High Fidelity,20000000.0,47881663.0,Walt Disney Pictures,Comedy,Stephen Frears,92.0,7.6,69740.0
Highlander: Endgame,15000000.0,12801190.0,Miramax/Dimension,Action,,,4.3,8421.0
